id	sex	age	edu	salary
1	m	37	univ	217
2	f	45	high	191
3	m	53	high	222
4	m	29	high	137
5	m	55	high	224
6	f	33	univ	211
7	m	50	high	207
8	m	34	univ	228
9	m	27	univ	193
10	f	33	high	133
11	m	42	univ	253
12	m	59	univ	275
13	m	40	high	153
14	m	35	high	169
15	f	37	high	189
16	m	43	high	175
17	f	45	middle	158
18	f	44	univ	239
19	f	48	univ	253
20	m	34	middle	110
21	f	20	high	135
22	m	44	univ	217
23	f	26	high	142
24	f	28	high	154
25	f	43	high	195
26	f	20	univ	163
27	f	27	high	139
28	f	43	univ	257
29	f	30	univ	215
30	f	36	high	168
31	m	27	univ	195
32	m	54	high	224
33	f	54	univ	262
34	f	52	univ	267
35	f	24	univ	174
36	m	58	middle	186
37	f	47	univ	223
38	m	26	high	125
39	m	28	high	138
40	m	27	middle	102
41	m	31	univ	203
42	m	53	univ	241
43	f	52	middle	175
44	f	42	univ	251
45	f	43	high	182
46	f	56	univ	297
47	f	54	high	223
48	m	59	univ	303
49	f	41	high	174
50	f	46	univ	240
51	m	54	high	193
52	f	20	high	116
53	m	54	high	233
54	f	56	univ	249
55	m	33	univ	204
56	f	22	high	112
57	f	20	univ	179
58	m	24	univ	184
59	m	45	univ	223
60	m	33	univ	221
61	m	58	high	251
62	m	46	middle	156
63	m	28	univ	192
64	m	34	univ	223
65	m	34	univ	207
66	f	45	high	199
67	f	32	high	175
68	m	51	univ	257
69	f	58	univ	277
70	f	51	univ	245
71	f	23	univ	155
72	f	49	univ	262
73	m	56	middle	192
74	f	42	high	175
75	m	58	univ	254
76	f	34	univ	189
77	f	48	middle	169
78	f	55	high	210
79	m	32	univ	189
80	f	51	middle	144
81	m	26	high	130
82	f	41	univ	217
83	m	47	univ	248
84	f	21	univ	176
85	m	25	high	106
86	m	47	univ	252
87	f	47	high	193
88	m	39	high	168
89	f	49	univ	251
90	f	30	univ	191
91	f	47	univ	242
92	f	44	univ	260
93	f	58	univ	295
94	f	52	middle	141
95	f	20	high	104
96	f	46	high	210
97	f	32	high	162
98	f	22	univ	178
99	f	58	high	211
100	m	25	univ	198
